,Pincode,Placename,District,State,Taluka,Latitude,Longitude,Full_address
36388,400065,Nagari Niwara,Mumbai,Maharashtra,Goregaon East,19.1699,72.8504,"Nagari Niwara,Goregaon East,Mumbai"
36389,400065,Aareymilk Colony,Mumbai,Maharashtra,Goregaon East,19.1699,72.8504,"Aareymilk Colony,Goregaon East,Mumbai"
36390,400066,Rajendra Nagar (Mumbai),Mumbai,Maharashtra,Borivali East,19.1699,72.8504,"Rajendra Nagar (Mumbai),Borivali East,Mumbai"
36391,400066,Borivali East,Mumbai,Maharashtra,Borivlai East,19.1699,72.8504,"Borivali East,Borivlai East,Mumbai"
36392,400066,Magthane,Mumbai,Maharashtra,Borivali East,19.1699,72.8504,"Magthane,Borivali East,Mumbai"
36393,400066,Daulat Nagar (Mumbai),Mumbai,Maharashtra,Borivali East,19.1699,72.8504,"Daulat Nagar (Mumbai),Borivali East,Mumbai"
36394,400066,S. K.Nagar,Mumbai,Maharashtra,Borivali East,19.1699,72.8504,"S. K.Nagar,Borivali East,Mumbai"
36395,400067,Kandivali West,Mumbai,Maharashtra,Kandivali West,19.1699,72.8504,"Kandivali West,Kandivali West,Mumbai"
36396,400067,Kandivali RS,Mumbai,Maharashtra,Mumbai,19.1699,72.8504,"Kandivali RS,Mumbai,Mumbai"
36397,400067,Charkop,Mumbai,Maharashtra,Kandivlai West,19.1699,72.8504,"Charkop,Kandivlai West,Mumbai"
36398,400068,Dahisar,Mumbai,Maharashtra,Dahisar East,19.2565,72.8733,"Dahisar,Dahisar East,Mumbai"
36399,400068,Ketkipada,Mumbai,Maharashtra,Dahisar East,19.2565,72.8733,"Ketkipada,Dahisar East,Mumbai"
36400,400068,Dahisar RS,Mumbai,Maharashtra,Dahisar West,19.2565,72.8733,"Dahisar RS,Dahisar West,Mumbai"
36401,400069,Nagardas Road,Mumbai,Maharashtra,Mumbai,19.1145,72.8712,"Nagardas Road,Mumbai,Mumbai"
36402,400069,Andheri East,Mumbai,Maharashtra,Mumbai,19.1145,72.8712,"Andheri East,Mumbai,Mumbai"
36404,400070,Kurla,Mumbai,Maharashtra,Mumbai,19.0713,72.883,"Kurla,Mumbai,Mumbai"
36405,400070,Netajinagar,Mumbai,Maharashtra,Mumbai,19.0713,72.883,"Netajinagar,Mumbai,Mumbai"
36441,400087,Sandeepany Sadhanalya,Mumbai,Maharashtra,Mumbai,19.1247,72.9488,"Sandeepany Sadhanalya,Mumbai,Mumbai"
